date,price,volume
2002-08-21,79.88,5257300
2002-08-22,79.91,3525000
2002-08-23,78.3,2529800
2002-08-26,79.75,2462400
2002-08-27,79.1,3730600
2002-08-28,77.08,4212500
2002-08-29,77.38,3967100
2002-08-30,77.3,2988400
2002-09-03,73.75,5698000
2002-09-04,75.5,5099900
2002-09-05,72.89,7152200
2002-09-06,72.34,4495800
2002-09-09,74.3,4644100
2002-09-10,73.41,2995400
2002-09-11,73.69,2877900
2002-09-12,72.2,3514100
2002-09-13,73,3015400
2002-09-16,72.6,2142200
2002-09-17,70.87,4528400
2002-09-18,70.41,5394800
2002-09-19,67.15,6025500
2002-09-20,67.36,5547300
2002-09-23,65.67,6611700
2002-09-24,66.31,7503500
2002-09-25,67.45,6753300
2002-09-26,68.04,4668600
2002-09-27,66.13,4589500
2002-09-30,66.03,6261500
2002-10-01,68.45,5385500
2002-10-02,65.55,6330000
2002-10-03,62.9,7632400
2002-10-04,62.05,6589200
2002-10-07,59.53,6671000
2002-10-08,61.6,6731400
2002-10-09,59.28,6286300
2002-10-10,61.08,6496500
2002-10-11,64.2,6291000
2002-10-14,65.3,4544900
2002-10-15,70,8429200
2002-10-16,68,6362800
2002-10-17,72.48,7545300
2002-10-18,70.55,6406100
2002-10-21,74.7,8094700
2002-10-22,72.5,4943700
2002-10-23,74.27,4837100
2002-10-24,72.5,4184700
2002-10-25,73.99,3831800
2002-10-28,73.58,3720600
2002-10-29,72.37,6480400
2002-10-30,72.36,4184800
2002-10-31,71.6,2815700
2002-11-01,73.45,3859700
2002-11-04,75.96,6394800
2002-11-05,76.74,3444500
2002-11-06,76.55,5795400
2002-11-07,74.05,4406900
2002-11-08,73.08,2810500
2002-11-11,71.78,3222000
2002-11-12,72.07,3742600
2002-11-13,72.49,4128900
2002-11-14,74.99,3404000
2002-11-15,75.25,4074800
2002-11-18,75.42,4271100
2002-11-19,75.08,2429300
2002-11-20,77.41,3704200
2002-11-21,79.95,6904100
2002-11-22,79.11,3367500
2002-11-25,79,3859400
2002-11-26,76.83,3379000
2002-11-27,79.64,3681900
2002-11-29,78.87,1176800
2002-12-02,78.78,3595200
2002-12-03,78.5,3521300
2002-12-04,76.35,5014400
2002-12-05,74.45,3153700
2002-12-06,74.5,4222000
2002-12-09,73.45,3096700
2002-12-10,74,3444100
2002-12-11,73.47,2576100
2002-12-12,74.23,2533100
2002-12-13,73.1,2396900
2002-12-16,74.53,3449100
2002-12-17,74.69,2768200
2002-12-18,73.7,3051500
2002-12-19,70.3,7784500
2002-12-20,71.86,6796800
2002-12-23,70.65,2713800
2002-12-24,69.37,2116300
2002-12-26,69.55,2056700
2002-12-27,67.92,2594400
2002-12-30,68.14,3156200
2002-12-31,68.1,2286100
2003-01-02,69.65,4025400
2003-01-03,70.38,2342800
2003-01-06,73,4337600
2003-01-07,72.7,4606900
2003-01-08,70.92,3265200
2003-01-09,73.72,3924000
2003-01-10,74.92,5156300
2003-01-13,74.42,3096400
2003-01-14,74.7,2850200
2003-01-15,73.51,3401000
2003-01-16,73.62,3552900
2003-01-17,72.58,4294400
2003-01-21,71,3094300
2003-01-22,70.25,3137900
2003-01-23,71.92,3456400
2003-01-24,69.15,4135700
2003-01-27,68.4,3978400
2003-01-28,69.05,3276600
2003-01-29,69.05,3779200
2003-01-30,67.4,3152200
2003-01-31,68.1,4561800
2003-02-03,69.25,3164500
2003-02-04,67.52,3723200
2003-02-05,67.41,3566500
2003-02-06,66.65,3651600
2003-02-07,65.7,3519900
2003-02-10,65.74,3764900
2003-02-11,65.05,3837700
2003-02-12,64.3,3376400
2003-02-13,64.92,3704700
2003-02-14,66.7,4641100
2003-02-18,68,3094400
