발생년월일시,발생분,주야,요일,사망자수,중상자수,경상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반,도로형태_대분류,당사자종별_1당_대분류,당사자종별_2당_대분류
2016032403,27,야간,목,1,1,0,경남,창원시(통합),차대차,기타,안전운전 의무 불이행,단일로,이륜차,승용차
2016032810,5,주간,월,1,0,0,대구,북구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016032811,20,주간,월,1,0,3,경기,성남시,차대차,진행중 추돌,안전운전 의무 불이행,단일로,화물차,화물차
2016040303,35,야간,일,1,0,0,대구,수성구,차대차,진행중 추돌,안전운전 의무 불이행,단일로,승용차,자전거
2016040314,0,주간,일,1,0,0,충남,공주시,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016030914,0,주간,수,1,0,0,경북,안동시,차대차,정면충돌,안전운전 의무 불이행,단일로,건설기계,농기계
2016031514,27,주간,화,1,0,0,전남,완도군,차량단독,전도전복,안전운전 의무 불이행,단일로,화물차,
2016031521,45,야간,화,1,0,0,충남,논산시,차대사람,기타,안전운전 의무 불이행,교차로,승용차,보행자
2016031518,58,야간,화,1,0,0,전북,완주군,차대차,기타,안전운전 의무 불이행,단일로,건설기계,농기계
2016031520,0,야간,화,1,1,4,서울,동대문구,차대차,정면충돌,중앙선 침범,단일로,승용차,승합차
2016031702,40,야간,목,2,1,0,전남,무안군,차대차,기타,안전운전 의무 불이행,교차로,승용차,승용차
2016032801,10,야간,월,1,0,0,울산,남구,차량단독,전도전복,중앙선 침범,단일로,승용차,
2016032509,25,주간,금,1,0,1,경기,파주시,차대차,진행중 추돌,신호위반,교차로,승용차,승합차
2016032511,35,주간,금,1,1,0,충남,서천군,차대차,정면충돌,중앙선 침범,단일로,승용차,화물차
2016032917,50,주간,화,1,0,0,강원,원주시,차대차,측면직각충돌,안전운전 의무 불이행,교차로,승합차,이륜차
2016032820,57,야간,월,1,1,0,경남,진주시,차대차,진행중 추돌,안전운전 의무 불이행,단일로,승용차,건설기계
2016032817,10,주간,월,1,0,0,충북,증평군,차량단독,전도전복,안전운전 의무 불이행,단일로,농기계,
2016032813,44,주간,월,1,0,0,대구,수성구,차대사람,차도통행중,안전운전 의무 불이행,단일로,화물차,보행자
2016040303,46,야간,일,2,0,0,서울,동작구,차대차,진행중 추돌,과속,단일로,승용차,화물차
2016040409,45,주간,월,1,0,0,충남,천안시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,특수차,
2016040311,20,주간,일,1,1,0,경기,연천군,차량단독,공작물충돌,안전운전 의무 불이행,단일로,승용차,
2016040216,13,주간,토,1,0,0,경북,영덕군,차대차,기타,안전운전 의무 불이행,교차로,승합차,자전거
2016031617,54,주간,수,1,0,0,전남,곡성군,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
